Customer_ID,Age,Gender,Membership,Total_Orders,Average_Order_Value,Total_Spend,Days_Since_Last_Purchase,Average_Orders_Per_Month,Wishlist_Items,Cart_Abandonment_Rate,Coupons_Used,Return_Rate,App_Sessions_Per_Month,Average_Session_Duration,Customer_Support_Tickets,Product_Categories_Purchased,Payment_Method,Preferred_Shopping_Time,Churn,Predicted_Churn,Churn_Probability,Customer_Segment,Recommendation,AI_Insights
CUST_00013,38,Male,Gold,44,1735.6,77084.25,43,1.3,3,35.1,12,9.9,9,16.1,2,7,Debit_Card,Evening,0,No,0.0063,1,"Reward loyalty with exclusive member benefits and early access to new arrivals. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
CUST_00014,43,Female,Basic,4,847.94,3424.63,128,0.92,4,60.7,2,65.8,11,17.0,3,1,UPI,Morning,1,Yes,0.9119,0,Launch an automated win-back campaign with a limited-time discount. Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00015,41,Female,Gold,17,2039.72,37841.13,33,1.13,1,65.4,4,13.1,11,13.7,0,8,Cash,Morning,0,No,0.0034,2,Recommend premium products and bonus loyalty rewards. Remind the customer about wishlist items and recently viewed products. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00016,19,Female,Silver,1,801.77,782.97,135,0.21,6,63.4,0,23.0,6,5.7,0,1,Debit_Card,Night,1,Yes,0.7279,0,Send personalized email campaigns featuring relevant products and time-limited offers. Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00017,49,Male,Gold,21,2116.19,48006.66,332,2.21,6,44.1,7,8.3,12,15.0,1,3,Cash,Afternoon,1,No,0.4028,2,Recommend premium products and bonus loyalty rewards. Remind the customer about wishlist items and recently viewed products. Recommend complementary products based on browsing and purchase history. Offer personalized product bundles and checkout incentives. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00018,30,Male,Silver,13,1131.94,13956.46,21,0.72,7,60.6,6,18.4,1,16.0,1,4,UPI,Evening,0,No,0.1632,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00019,31,Female,Gold,21,1309.57,29641.2,0,2.06,7,39.0,10,4.4,18,16.6,1,4,Credit Card,Evening,0,No,0.0005,2,Encourage higher spending through product bundles and seasonal offers. Recommend complementary products based on browsing and purchase history. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00020,45,Female,Silver,1,1544.29,1629.67,13,0.46,5,42.4,1,1.5,2,6.8,2,1,UPI,Afternoon,0,No,0.1042,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00021,28,Female,Basic,9,594.79,4970.71,9,1.03,4,33.2,4,64.4,12,6.1,0,2,Credit Card,Morning,0,No,0.088,2,Promote value-for-money products and introductory discounts. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00022,41,Female,Gold,19,2238.73,46639.52,49,1.2,6,51.5,6,17.1,11,8.8,2,6,UPI,Evening,0,No,0.1225,2,Recommend premium products and bonus loyalty rewards. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00023,26,Female,Basic,1,579.17,535.52,49,0.05,1,83.1,1,5.1,0,11.2,2,2,Debit_Card,Morning,1,Yes,0.7867,0,Send personalized email campaigns featuring relevant products and time-limited offers. Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00024,35,Male,Silver,6,1413.5,8437.34,18,1.68,5,60.3,1,8.5,9,8.4,1,3,UPI,Evening,0,No,0.0101,2,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00025,33,Male,Silver,28,1735.47,48400.9,15,0.9,4,54.2,9,14.3,5,11.0,1,2,UPI,Evening,0,No,0.0226,2,Recommend premium products and bonus loyalty rewards. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00026,31,Female,Basic,19,145.29,2854.37,16,0.6,3,61.1,4,0.5,3,1.0,0,2,Credit Card,Evening,0,No,0.0237,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00027,27,Female,Gold,8,2439.58,20873.4,34,1.59,4,26.4,5,4.2,10,9.3,0,2,UPI,Morning,0,No,0.0058,2,Encourage higher spending through product bundles and seasonal offers. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00028,37,Male,Silver,16,1419.14,23958.46,13,1.62,8,39.8,2,21.3,11,3.4,5,2,Credit Card,Afternoon,0,No,0.0078,2,Encourage higher spending through product bundles and seasonal offers. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00029,39,Male,Basic,1,767.96,857.94,1,0.48,7,63.3,0,25.7,6,5.0,0,3,Debit_Card,Evening,0,No,0.1343,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00030,50,Male,Basic,5,760.81,4057.24,35,0.6,2,70.9,2,16.9,2,8.8,0,1,Credit Card,Evening,0,No,0.0918,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00031,30,Male,Basic,11,950.36,10947.04,2,0.71,5,52.2,1,13.0,4,18.0,0,4,Credit Card,Morning,0,No,0.041,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00032,38,Female,Platinum,21,2775.43,52381.28,19,2.25,7,48.8,10,31.7,9,11.6,0,8,Credit Card,Evening,0,No,0.0004,1,"Reward loyalty with exclusive member benefits and early access to new arrivals. Recommend complementary products based on browsing and purchase history. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
CUST_00033,66,Female,Basic,10,992.51,10560.23,16,0.61,4,53.9,7,27.4,6,7.0,1,1,UPI,Evening,0,No,0.0842,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00034,43,Male,Basic,10,862.75,9287.37,17,0.49,6,59.6,6,10.7,4,8.4,0,1,Credit Card,Afternoon,0,No,0.0661,3,Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00035,44,Female,Silver,13,1264.43,16924.18,16,0.53,2,49.9,2,2.1,0,11.7,0,2,Credit Card,Evening,0,No,0.0522,3,Encourage higher spending through product bundles and seasonal offers. Remind the customer about wishlist items and recently viewed products. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00036,43,Female,Gold,12,1647.55,20339.71,33,1.7,8,36.1,3,20.3,12,10.5,1,2,Credit Card,Night,0,No,0.0054,2,Encourage higher spending through product bundles and seasonal offers. Remind the customer about wishlist items and recently viewed products. Recommend complementary products based on browsing and purchase history. Offer personalized product bundles and checkout incentives. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00037,18,Female,Silver,16,830.3,13625.67,9,1.02,8,50.5,5,6.3,6,11.2,1,9,Cash,Evening,0,No,0.0243,2,Promote value-for-money products and introductory discounts. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00038,34,Male,Platinum,40,2769.22,120334.34,163,1.95,7,27.9,15,8.6,19,17.5,0,6,UPI,Evening,0,No,0.0159,1,"Reward loyalty with exclusive member benefits and early access to new arrivals. Launch a win-back campaign with personalized offers and product recommendations. Recommend complementary products based on browsing and purchase history. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
CUST_00039,18,Male,Platinum,12,3880.24,42016.72,7,1.61,3,39.7,2,17.2,12,6.2,1,2,Credit Card,Morning,0,No,0.0019,2,Encourage higher spending through product bundles and seasonal offers. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00040,49,Male,Gold,22,1419.98,29221.99,86,0.75,2,52.9,8,25.5,9,17.3,1,5,Cash,Evening,0,No,0.3683,2,Encourage higher spending through product bundles and seasonal offers. Launch a win-back campaign with personalized offers and product recommendations. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00041,60,Female,Basic,4,926.26,3486.2,66,0.85,2,70.1,0,14.5,2,15.1,0,4,UPI,Night,0,No,0.176,3,Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00042,31,Male,Basic,6,781.09,5098.64,77,0.65,4,65.5,1,16.3,5,4.1,1,2,Credit Card,Night,1,No,0.1782,3,Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00043,60,Male,Gold,47,1820.68,86316.93,212,1.81,7,49.8,11,5.1,13,11.6,2,9,UPI,Morning,0,No,0.0159,1,"Reward loyalty with exclusive member benefits and early access to new arrivals. Launch a win-back campaign with personalized offers and product recommendations. Recommend complementary products based on browsing and purchase history. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
CUST_00044,23,Female,Silver,71,1097.14,78321.01,40,1.55,4,56.2,20,18.9,11,10.7,1,9,UPI,Morning,0,No,0.0024,1,"Reward loyalty with exclusive member benefits and early access to new arrivals. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
CUST_00045,22,Female,Gold,5,2078.63,10518.64,15,1.01,9,61.5,1,40.9,11,18.7,3,3,UPI,Night,0,No,0.4229,2,Promote value-for-money products and introductory discounts. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00046,45,Female,Gold,31,1932.56,57499.08,26,2.3,5,39.1,13,49.0,11,12.0,1,4,UPI,Evening,0,No,0.0026,2,Reward loyalty with exclusive member benefits and early access to new arrivals. Recommend complementary products based on browsing and purchase history. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00047,27,Female,Basic,6,652.56,3463.33,7,0.56,5,75.4,1,13.8,3,8.1,2,3,Debit_Card,Night,0,No,0.2897,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00048,31,Male,Platinum,44,3265.1,140424.65,9,1.97,5,47.5,17,10.0,12,10.7,0,8,Cash,Night,0,No,0.0,1,"Reward loyalty with exclusive member benefits and early access to new arrivals. Recommend complementary products based on browsing and purchase history. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
CUST_00049,52,Female,Silver,10,983.4,10170.41,7,0.66,4,71.5,5,26.1,8,13.0,1,1,Debit_Card,Night,0,No,0.1046,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00050,25,Male,Basic,6,750.71,5000.62,2,0.37,4,62.5,2,15.9,6,2.9,1,3,Debit_Card,Evening,0,No,0.1175,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00051,34,Male,Gold,35,2078.21,71089.12,15,1.96,6,52.6,17,15.8,9,9.2,0,13,UPI,Afternoon,0,No,0.0001,1,"Reward loyalty with exclusive member benefits and early access to new arrivals. Recommend complementary products based on browsing and purchase history. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
CUST_00052,36,Female,Silver,33,1005.76,32765.78,57,0.84,3,71.4,5,5.7,9,15.2,0,5,Debit_Card,Night,0,No,0.086,3,Encourage higher spending through product bundles and seasonal offers. Launch a win-back campaign with personalized offers and product recommendations. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00053,42,Female,Gold,50,779.9,40079.12,320,1.5,6,65.9,19,11.8,7,13.6,1,9,Credit Card,Afternoon,1,Yes,0.7404,1,"Send personalized email campaigns featuring relevant products and time-limited offers. Recommend premium products and bonus loyalty rewards. Launch a win-back campaign with personalized offers and product recommendations. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards. Mark this customer as a high-priority retention case for upcoming marketing campaigns.",AI-generated business insights are currently unavailable.
CUST_00054,47,Female,Silver,4,894.98,3379.7,34,0.6,5,59.0,3,2.4,2,9.0,0,1,Cash,Afternoon,0,No,0.1091,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00055,36,Female,Gold,31,1602.39,50312.43,13,1.96,2,58.3,10,1.8,16,10.9,0,3,Cash,Afternoon,0,No,0.0009,2,Reward loyalty with exclusive member benefits and early access to new arrivals. Recommend complementary products based on browsing and purchase history. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00056,22,Female,Gold,20,1665.47,30596.7,6,1.93,7,39.6,7,18.6,13,13.7,0,1,UPI,Afternoon,0,No,0.0022,2,Encourage higher spending through product bundles and seasonal offers. Recommend complementary products based on browsing and purchase history. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00057,51,Female,Silver,25,972.93,23406.74,5,1.19,3,46.0,7,9.7,11,6.5,0,4,Debit_Card,Morning,0,No,0.0024,2,Encourage higher spending through product bundles and seasonal offers. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00058,75,Male,Gold,23,2587.83,58366.19,8,1.37,2,39.8,11,3.4,15,10.8,1,5,UPI,Afternoon,0,No,0.0034,2,Reward loyalty with exclusive member benefits and early access to new arrivals. Recommend complementary products based on browsing and purchase history. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00059,48,Male,Gold,56,2106.82,130129.24,11,1.9,5,63.3,14,12.4,7,2.6,2,8,Cash,Afternoon,0,No,0.0,1,"Reward loyalty with exclusive member benefits and early access to new arrivals. Highlight popular products and limited-time deals. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
CUST_00060,45,Female,Basic,1,834.33,887.61,365,0.05,1,79.2,0,21.8,1,16.4,1,1,Credit Card,Night,1,Yes,0.9991,0,Launch an automated win-back campaign with a limited-time discount. Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00061,33,Male,Silver,16,810.94,13159.32,279,1.12,1,65.0,7,40.2,11,11.5,1,6,Debit_Card,Evening,1,Yes,0.9846,0,Launch an automated win-back campaign with a limited-time discount. Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00062,34,Male,Basic,6,721.96,3915.34,13,0.35,3,58.0,1,37.4,9,5.3,2,4,UPI,Afternoon,0,No,0.1959,0,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Re-engage the customer with introductory offers and recommendations based on previously viewed products.,AI-generated business insights are currently unavailable.
CUST_00063,19,Male,Gold,12,1156.87,13206.06,249,1.98,8,57.0,2,28.1,10,8.4,1,3,Cash,Evening,0,No,0.4711,2,Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00064,46,Female,Platinum,30,2131.4,62191.2,279,2.19,9,38.3,7,10.8,14,8.6,2,6,UPI,Night,0,No,0.2991,2,Reward loyalty with exclusive member benefits and early access to new arrivals. Remind the customer about wishlist items and recently viewed products. Recommend complementary products based on browsing and purchase history. Offer personalized product bundles and checkout incentives. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00065,36,Male,Silver,27,926.6,23652.82,64,0.45,1,57.4,6,6.6,1,1.0,1,1,UPI,Morning,0,No,0.0664,3,Encourage higher spending through product bundles and seasonal offers. Launch a win-back campaign with personalized offers and product recommendations. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00066,54,Female,Basic,11,919.25,10291.84,10,1.27,3,31.0,3,30.6,5,1.3,0,3,Credit Card,Evening,0,No,0.012,3,Promote value-for-money products and introductory discounts. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00067,24,Male,Silver,7,1087.24,7114.93,41,0.86,3,70.7,2,24.4,9,13.8,2,3,Debit_Card,Night,0,No,0.2754,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00068,55,Female,Basic,5,510.41,2529.96,191,0.98,4,80.7,4,26.3,9,6.3,3,2,Credit Card,Afternoon,1,Yes,0.8617,0,Launch an automated win-back campaign with a limited-time discount. Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00069,33,Female,Basic,6,917.5,5176.92,350,0.6,5,66.5,2,6.9,5,10.9,0,2,Debit_Card,Night,1,Yes,0.9868,0,Launch an automated win-back campaign with a limited-time discount. Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00070,30,Female,Silver,5,1262.52,6037.86,17,1.02,2,38.6,1,66.9,6,15.7,2,4,UPI,Morning,0,No,0.3918,2,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00071,31,Female,Basic,14,984.51,14952.81,28,0.78,2,64.2,9,8.4,12,6.8,0,5,Cash,Night,0,No,0.0828,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00072,30,Male,Gold,45,1751.63,82583.13,325,2.02,7,59.7,15,15.4,11,23.8,0,4,Credit Card,Evening,1,No,0.268,1,"Reward loyalty with exclusive member benefits and early access to new arrivals. Remind the customer about wishlist items and recently viewed products. Recommend complementary products based on browsing and purchase history. Offer personalized product bundles and checkout incentives. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
CUST_00073,18,Male,Silver,5,893.45,4342.07,43,1.06,2,64.6,2,71.2,8,17.5,2,2,Debit_Card,Evening,0,Yes,0.6677,0,Send personalized email campaigns featuring relevant products and time-limited offers. Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00074,46,Female,Silver,1,716.57,774.56,365,0.05,5,61.4,0,5.9,4,7.5,0,2,Credit Card,Evening,1,Yes,0.9953,0,Launch an automated win-back campaign with a limited-time discount. Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00075,48,Male,Basic,17,410.73,7543.35,7,0.78,5,70.3,5,9.1,3,8.5,0,3,Cash,Evening,0,No,0.0493,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00076,54,Female,Basic,2,969.13,1849.01,10,0.5,2,54.2,2,6.2,5,9.6,0,1,UPI,Morning,0,No,0.0637,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00077,47,Female,Basic,9,773.65,7675.93,49,0.52,5,58.5,4,11.8,8,9.7,0,3,UPI,Afternoon,0,No,0.254,3,Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
